电影名字,别名,电影链接,导演,主演,年份,国家,类型,评分,星级,评价人数,评论
肖申克的救赎,The Shawshank Redemption,https://movie.douban.com/subject/1292052/,弗兰克·德拉邦特FrankDarabont,蒂姆·罗宾斯TimRobbins,1994,美国,犯罪剧情,9.7,4.5,2859537,希望让人自由。
霸王别姬,再见，我的妾,https://movie.douban.com/subject/1291546/,陈凯歌KaigeChen,张国荣LeslieCheung,1993,中国大陆中国香港,剧情爱情同性,9.6,4.5,2114260,风华绝代。
阿甘正传,Forrest Gump,https://movie.douban.com/subject/1292720/,罗伯特·泽米吉斯RobertZemeckis,汤姆·汉克斯TomHanks,1994,美国,剧情爱情,9.5,4.5,2134581,一部美国近现代史。
泰坦尼克号,Titanic,https://movie.douban.com/subject/1292722/,詹姆斯·卡梅隆JamesCameron,莱昂纳多·迪卡普里奥Leonardo,1997,美国墨西哥,剧情爱情灾难,9.5,4.5,2160624,失去的才是永恒的。 
这个杀手不太冷,Léon,https://movie.douban.com/subject/1295644/,吕克·贝松LucBesson,让·雷诺JeanReno,1994,法国美国,剧情动作犯罪,9.4,4.5,2271622,怪蜀黍和小萝莉不得不说的故事。
千与千寻,千と千尋の神隠し,https://movie.douban.com/subject/1291561/,宫崎骏HayaoMiyazaki,柊瑠美RumiHîragi,2001,日本,剧情动画奇幻,9.4,4.5,2215550,最好的宫崎骏，最好的久石让。 
美丽人生,La vita è bella,https://movie.douban.com/subject/1292063/,罗伯托·贝尼尼RobertoBenigni,罗伯托·贝尼尼RobertoBeni,1997,意大利,剧情喜剧爱情战争,9.6,4.5,1311388,最美的谎言。
辛德勒的名单,Schindler's List,https://movie.douban.com/subject/1295124/,史蒂文·斯皮尔伯格StevenSpielberg,连姆·尼森LiamNeeson,1993,美国,剧情历史战争,9.6,4.5,1092779,拯救一个人，就是拯救整个世界。
星际穿越,Interstellar,https://movie.douban.com/subject/1889243/,克里斯托弗·诺兰ChristopherNolan,马修·麦康纳MatthewMc,2014,美国英国加拿大,剧情科幻冒险,9.4,4.5,1805233,爱是一种力量，让我们超越时空感知它的存在。
盗梦空间,Inception,https://movie.douban.com/subject/3541415/,克里斯托弗·诺兰ChristopherNolan,莱昂纳多·迪卡普里奥Le,2010,美国英国,剧情科幻悬疑冒险,9.4,4.5,2036406,诺兰给了我们一场无法盗取的梦。
楚门的世界,The Truman Show,https://movie.douban.com/subject/1292064/,彼得·威尔PeterWeir,金·凯瑞JimCarrey,1998,美国,剧情科幻,9.4,4.5,1677657,如果再也不能见到你，祝你早安，午安，晚安。
忠犬八公的故事,Hachi: A Dog's Tale,https://movie.douban.com/subject/3011091/,莱塞·霍尔斯道姆LasseHallström,理查·基尔RichardGer,2009,美国英国,剧情,9.4,4.5,1385221,永远都不能忘记你所爱的人。
海上钢琴师,La leggenda del pianista sull'oceano,https://movie.douban.com/subject/1292001/,朱塞佩·托纳多雷GiuseppeTornatore,蒂姆·罗斯TimRoth,1998,意大利,剧情音乐,9.3,4.5,1658968,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,3 Idiots,https://movie.douban.com/subject/3793023/,拉库马·希拉尼RajkumarHirani,阿米尔·汗AamirKhan,2009,印度,剧情喜剧爱情歌舞,9.2,4.5,1838768,英俊版憨豆，高情商版谢耳朵。
放牛班的春天,Les choristes,https://movie.douban.com/subject/1291549/,克里斯托夫·巴拉蒂ChristopheBarratier,让-巴蒂斯特·莫尼,2004,法国瑞士德国,剧情音乐,9.3,4.5,1295450,天籁一般的童声，是最接近上帝的存在。 
机器人总动员,WALL·E,https://movie.douban.com/subject/2131459/,安德鲁·斯坦顿AndrewStanton,本·贝尔特BenBurtt,2008,美国,科幻动画冒险,9.3,4.5,1300951,小瓦力，大人生。
无间道,無間道,https://movie.douban.com/subject/1307914/,刘伟强/麦兆辉,刘德华AndyLau,2002,中国香港,剧情犯罪惊悚,9.3,4.5,1344548,香港电影史上永不过时的杰作。
疯狂动物城,Zootopia,https://movie.douban.com/subject/25662329/,拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore,金妮弗·,2016,美国,喜剧动画冒险,9.2,4.5,1904504,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
控方证人,Witness for the Prosecution,https://movie.douban.com/subject/1296141/,比利·怀尔德BillyWilder,泰隆·鲍华TyronePower,1957,美国,剧情犯罪悬疑,9.6,4.5,543390,比利·怀德满分作品。
大话西游之大圣娶亲,西遊記大結局之仙履奇緣,https://movie.douban.com/subject/1292213/,刘镇伟JeffreyLau,周星驰StephenChow,1995,中国香港中国大陆,喜剧爱情奇幻古装,9.2,4.5,1516093,一生所爱。
熔炉,도가니,https://movie.douban.com/subject/5912992/,黄东赫Dong-hyukHwang,孔侑YooGong,2011,韩国,剧情,9.4,4.5,921315,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
教父,The Godfather,https://movie.douban.com/subject/1291841/,弗朗西斯·福特·科波拉FrancisFordCoppola,马龙·白兰度M,1972,美国,剧情犯罪,9.3,4.5,953622,千万不要记恨你的对手，这样会让你失去理智。
触不可及,Intouchables,https://movie.douban.com/subject/6786002/,奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano,无,2011,法国,剧情喜剧,9.3,4.5,1097233,满满温情的高雅喜剧。
当幸福来敲门,The Pursuit of Happyness,https://movie.douban.com/subject/1849031/,加布里尔·穆奇诺GabrieleMuccino,威尔·史密斯WillSmith,2006,美国,剧情传记家庭,9.2,4.5,1502205,平民励志片。 
怦然心动,Flipped,https://movie.douban.com/subject/3319755/,罗伯·莱纳RobReiner,玛德琳·卡罗尔MadelineCarroll,2010,美国,剧情喜剧爱情,9.1,4.5,1811089,真正的幸福是来自内心深处。
龙猫,となりのトトロ,https://movie.douban.com/subject/1291560/,宫崎骏HayaoMiyazaki,日高法子NorikoHidaka,1988,日本,动画奇幻冒险,9.2,4.5,1250551,人人心中都有个龙猫，童年就永远不会消失。
末代皇帝,The Last Emperor,https://movie.douban.com/subject/1293172/,贝纳尔多·贝托鲁奇BernardoBertolucci,尊龙JohnLone,1987,英国意大利中国大陆法国,剧情传记历史,9.3,4.5,868702,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
寻梦环游记,Coco,https://movie.douban.com/subject/20495023/,李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina,,2017,美国,喜剧动画奇幻音乐,9.1,4.5,1652765,死亡不是真的逝去，遗忘才是永恒的消亡。
活着,人生,https://movie.douban.com/subject/1292365/,张艺谋YimouZhang,葛优YouGe,1994,中国大陆中国香港,剧情历史家庭,9.3,4.5,832367,张艺谋最好的电影。
蝙蝠侠：黑暗骑士,The Dark Knight,https://movie.douban.com/subject/1851857/,克里斯托弗·诺兰ChristopherNolan,克里斯蒂安·贝尔Christ,2008,美国英国,剧情动作科幻犯罪惊悚,9.2,4.5,1042278,无尽的黑暗。
哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,https://movie.douban.com/subject/1295038/,ChrisColumbus,DanielRadcliffe,2001,美国英国,奇幻冒险,9.2,4.5,1170825,童话世界的开端。
指环王3：王者无敌,The Lord of the Rings: The Return of the King,https://movie.douban.com/subject/1291552/,彼得·杰克逊PeterJackson,伊利亚·伍德ElijahWood,2003,美国新西兰,剧情动作奇幻冒险,9.3,4.5,792482,史诗的终章。
乱世佳人,Gone with the Wind,https://movie.douban.com/subject/1300267/,维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor,费,1939,美国,剧情历史爱情战争,9.3,4.5,682181,Tomorrow is another day.
我不是药神,中国药神,https://movie.douban.com/subject/26752088/,文牧野MuyeWen,徐峥ZhengXu,2018,中国大陆,剧情喜剧,9.0,4.5,2075245,对我们国家而言，这样的电影多一部是一部。
素媛,소원,https://movie.douban.com/subject/21937452/,李濬益Jun-ikLee,薛景求Kyung-guSol,2013,韩国,剧情,9.3,4.5,677983,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
飞屋环游记,Up,https://movie.douban.com/subject/2129039/,彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson,爱德,2009,美国,剧情喜剧动画冒险,9.1,4.5,1307631,最后那些最无聊的事情，才是最值得怀念的。 
哈尔的移动城堡,ハウルの動く城,https://movie.douban.com/subject/1308807/,宫崎骏HayaoMiyazaki,倍赏千惠子ChiekoBaishô,2004,日本,动画奇幻冒险,9.1,4.5,1008833,带着心爱的人在天空飞翔。
十二怒汉,12 Angry Men,https://movie.douban.com/subject/1293182/,SidneyLumet,亨利·方达HenryFonda,1957,美国,剧情,9.4,4.5,482596,1957年的理想主义。 
何以为家,كفرناحوم,https://movie.douban.com/subject/30170448/,娜丁·拉巴基NadineLabaki,扎因·拉费阿Zainal-Rafeea,2018,黎巴嫩美国法国塞浦路斯卡塔尔英国,剧情,9.1,4.5,1031697,凝视卑弱生命，用电影改变命运。
摔跤吧！爸爸,Dangal,https://movie.douban.com/subject/26387939/,涅提·蒂瓦里NiteshTiwari,阿米尔·汗AamirKhan,2016,印度,剧情传记运动家庭,9.0,4.5,1551732,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
让子弹飞,让子弹飞一会儿,https://movie.douban.com/subject/3742360/,姜文WenJiang,姜文WenJiang,2010,中国大陆中国香港,剧情喜剧动作西部,9.0,4.5,1677340,你给我翻译翻译，神马叫做TMD的惊喜。
鬼子来了,Devils on the Doorstep,https://movie.douban.com/subject/1291858/,姜文WenJiang,姜文WenJiang,2000,中国大陆,剧情喜剧,9.3,4.5,618592,对敌人的仁慈，就是对自己残忍。
猫鼠游戏,Catch Me If You Can,https://movie.douban.com/subject/1305487/,史蒂文·斯皮尔伯格StevenSpielberg,莱昂纳多·迪卡普里奥L,2002,美国加拿大,传记犯罪剧情,9.1,4.5,1006706,骗子大师和执著警探的你追我跑故事。 
少年派的奇幻漂流,Life of Pi,https://movie.douban.com/subject/1929463/,李安AngLee,苏拉·沙玛SurajSharma,2012,美国中国台湾英国加拿大,剧情奇幻冒险,9.1,4.5,1334901,瑰丽壮观、无人能及的冒险之旅。
海蒂和爷爷,Heidi,https://movie.douban.com/subject/25958717/,阿兰·葛斯彭纳AlainGsponer,阿努克·斯特芬AnukSteffen,2015,德国瑞士,剧情冒险家庭,9.3,4.5,597548,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
钢琴家,The Pianist,https://movie.douban.com/subject/1296736/,罗曼·波兰斯基RomanPolanski,艾德里安·布洛迪AdrienBrod,2002,英国法国波兰德国,剧情传记战争音乐,9.3,4.5,627650,音乐能化解仇恨。
大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,https://movie.douban.com/subject/1299398/,刘镇伟JeffreyLau,周星驰StephenChow,1995,中国香港中国大陆,喜剧爱情奇幻古装,9.0,4.5,1207244,旷古烁今。
天空之城,天空の城ラピュタ,https://movie.douban.com/subject/1291583/,宫崎骏HayaoMiyazaki,田中真弓MayumiTanaka,1986,日本,动画奇幻冒险,9.2,4.5,810895,对天空的追逐，永不停止。 
指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,https://movie.douban.com/subject/1291572/,彼得·杰克逊PeterJackson,伊利亚·伍德ElijahWood,2002,美国新西兰,剧情动作奇幻冒险,9.2,4.5,742550,承前启后的史诗篇章。
闻香识女人,Scent of a Woman,https://movie.douban.com/subject/1298624/,马丁·布莱斯MartinBrest,阿尔·帕西诺AlPacino,1992,美国,剧情,9.1,4.5,871569,史上最美的探戈。
罗马假日,Roman Holiday,https://movie.douban.com/subject/1293839/,威廉·惠勒WilliamWyler,奥黛丽·赫本AudreyHepburn,1953,美国,喜剧剧情爱情,9.1,4.5,939282,爱情哪怕只有一天。
天堂电影院,Nuovo Cinema Paradiso,https://movie.douban.com/subject/1291828/,朱塞佩·托纳多雷GiuseppeTornatore,菲利普·努瓦雷Philipp,1988,意大利法国,剧情爱情,9.2,4.5,672705,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
死亡诗社,Dead Poets Society,https://movie.douban.com/subject/1291548/,彼得·威尔PeterWeir,罗宾·威廉姆斯RobinWilliams,1989,美国,剧情,9.2,4.5,713552,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
绿皮书,Green Book,https://movie.douban.com/subject/27060077/,彼得·法雷里PeterFarrelly,维果·莫腾森ViggoMortensen,2018,美国中国大陆,剧情喜剧传记音乐,8.9,4.0,1625269,去除成见，需要勇气。
大闹天宫,大闹天宫 上下集,https://movie.douban.com/subject/1418019/,万籁鸣LaimingWan,邱岳峰YuefengQiu,1961(中国大陆),1964(中国大陆),1978(中国大陆),9.4,4.5,430469,经典之作，历久弥新。
指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,https://movie.douban.com/subject/1291571/,彼得·杰克逊PeterJackson,伊利亚·伍德ElijahWood,2001,新西兰美国,剧情动作奇幻冒险,9.1,4.5,835461,传说的开始。
黑客帝国,The Matrix,https://movie.douban.com/subject/1291843/,安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski,无,1999,美国,动作科幻,9.1,4.5,827658,视觉革命。
教父2,The Godfather: Part II,https://movie.douban.com/subject/1299131/,弗朗西斯·福特·科波拉FrancisFordCoppola,阿尔·帕西诺A,1974,美国,剧情犯罪,9.3,4.5,544342,优雅的孤独。
狮子王,The Lion King,https://movie.douban.com/subject/1301753/,RogerAllers/罗伯·明可夫RobMinkoff,乔纳森·泰勒·托马,1994,美国,动画冒险歌舞,9.1,4.5,827439,动物版《哈姆雷特》。
辩护人,변호인,https://movie.douban.com/subject/21937445/,杨宇硕Woo-seokYang,宋康昊Kang-hoSong,2013,韩国,剧情,9.2,4.5,582902,电影的现实意义大过电影本身。
饮食男女,飲食男女,https://movie.douban.com/subject/1291818/,李安AngLee,郎雄SihungLung,1994,中国台湾美国,剧情家庭,9.2,4.5,612617,人生不能像做菜，把所有的料都准备好了才下锅。
搏击俱乐部,Fight Club,https://movie.douban.com/subject/1292000/,大卫·芬奇DavidFincher,爱德华·诺顿EdwardNorton,1999,美国,剧情动作悬疑惊悚,9.0,4.5,835978,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
美丽心灵,A Beautiful Mind,https://movie.douban.com/subject/1306029/,朗·霍华德RonHoward,罗素·克劳RussellCrowe,2001,美国,传记剧情,9.1,4.5,760167,爱是一切逻辑和原由。
本杰明·巴顿奇事,The Curious Case of Benjamin Button,https://movie.douban.com/subject/1485260/,大卫·芬奇DavidFincher,凯特·布兰切特CateBlanchett,2008,美国,剧情爱情奇幻,9.0,4.5,970426,在时间之河里感受溺水之苦。
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,https://movie.douban.com/subject/3008247/,马克·赫尔曼MarkHerman,阿萨·巴特菲尔德AsaButterfield,2008,英国美国,剧情战争,9.2,4.5,555825,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
窃听风暴,Das Leben der Anderen,https://movie.douban.com/subject/1900841/,弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck&n...+2006/德国/剧情悬疑,无,2006,德国,剧情悬疑,9.2,4.5,557893,别样人生。
情书,Love Letter,https://movie.douban.com/subject/1292220/,岩井俊二ShunjiIwai,中山美穗MihoNakayama,1995,日本,剧情爱情,8.9,4.0,1097169,暗恋的极致。
两杆大烟枪,"Lock, Stock and Two Smoking Barrels",https://movie.douban.com/subject/1293350/,GuyRitchie,JasonFlemyng,1998,英国,剧情喜剧犯罪,9.1,4.5,588633,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说,Malèna,https://movie.douban.com/subject/1292402/,朱塞佩·托纳多雷GiuseppeTornatore,莫妮卡·贝鲁奇Monica,2000,意大利美国,剧情战争情色,8.9,4.0,963902,美丽无罪。
音乐之声,The Sound of Music,https://movie.douban.com/subject/1294408/,罗伯特·怀斯RobertWise,朱莉·安德鲁斯JulieAndrews,1965,美国,剧情传记爱情歌舞,9.1,4.5,593794,用音乐化解仇恨，让歌声串起美好。
看不见的客人,Contratiempo,https://movie.douban.com/subject/26580232/,奥里奥尔·保罗OriolPaulo,马里奥·卡萨斯MarioCasas,2016,西班牙,剧情犯罪悬疑惊悚,8.8,4.0,1240371,你以为你以为的就是你以为的。
阿凡达,Avatar,https://movie.douban.com/subject/1652587/,詹姆斯·卡梅隆JamesCameron,萨姆·沃辛顿SamWorthington,2009,美国,动作科幻冒险,8.8,4.0,1404773,绝对意义上的美轮美奂。
